title_main,title_original,release_year,runtime,country,language_,director,production,genre,top_cast,plot,rating_imdb,rating_metacritic,rating_rottentomatoes,imdb_id,website,trailer,poster_small,poster_large,connections,quality,subtitles
12 Angry Men,,1957,96 min,USA,English,Sidney Lumet,Criterion Collection,Drama,"Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall","The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young man is guilty or innocent of murdering his father. What begins as an open-and-shut case of murder soon becomes a detective story that presents a succession of clues creating doubt, and a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Based on the play, all of the action takes place on the stage of the jury room.",89,96,100,tt0050083,,,https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,,1080,Eng
12 Strong,,2018,130 min,USA,"English, Pushto, Russian",Nicolai Fuglsig,Warner Bros. Pictures,"Action, Drama, History, War","Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down for the Taliban.",70,54,54,tt1413492,https://12strongmovie.com/,,https://ia.media-imdb.com/images/M/MV5BNTEzMjk3NzkxMV5BMl5BanBnXkFtZTgwNjY2NDczNDM@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BNTEzMjk3NzkxMV5BMl5BanBnXkFtZTgwNjY2NDczNDM@._V1_SX300.jpg,,1080,
1492: Conquest of Paradise,,1992,154 min,"France, Spain, USA",English,Ridley Scott,Paramount Home Video,"Adventure, Biography, Drama, History","Gérard Depardieu, Armand Assante, Sigourney Weaver, Loren Dean","Big budget account of Christopher Columbus' discovery of the Americas. Released in 1992 to celebrate the 500th anniversary of the discovery. Shows the disastrous effects the Europeans had on the original inhabitants, and Columbus' struggle to civilize the New World.",65,47,33,tt0103594,,,https://m.media-amazon.com/images/M/MV5BZDViYzU4ZGUtN2IyMi00YzljLWJiMGUtNDljZTk4MGUxOWI4L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZDViYzU4ZGUtN2IyMi00YzljLWJiMGUtNDljZTk4MGUxOWI4L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,,1080,
1917,,2019,119 min,"USA, UK, India, Spain, Canada","English, French, German",Sam Mendes,Universal Pictures,"Drama, War","Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth","April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",83,78,89,tt8579674,,,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg,,1080,Eng
1987: When the Day Comes,1987,2017,129 min,South Korea,Korean,Joon-hwan Jang,Woojeung Film,Drama,"Yun-seok Kim, Jung-woo Ha, Hae-jin Yoo, Tae-ri Kim","In 1987 Korea under an oppressive military regime, the unlawful interrogation and death of a college student ignite ordinary citizens to fight for the truth and bring about justice.",82,,88,tt6493286,,,https://m.media-amazon.com/images/M/MV5BYzUyMzA5NDktODUzOS00YWE5LWFjYTEtYjA3MDY0ZTM0NmQwXkEyXkFqcGdeQXVyNTQ0NTUxOTA@._V1_.jpg,https://images-na.ssl-images-amazon.com/images/M/MV5BYzUyMzA5NDktODUzOS00YWE5LWFjYTEtYjA3MDY0ZTM0NmQwXkEyXkFqcGdeQXVyNTQ0NTUxOTA@._V1_SX300.jpg,,1080,Eng
2001: A Space Odyssey,,1968,149 min,"UK, USA","English, Russian",Stanley Kubrick,Warner Bros. Pictures,"Adventure, Sci-Fi","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter","""2001"" is a story of evolution. Sometime in the distant past, someone or something nudged evolution by placing a monolith on Earth (presumably elsewhere throughout the universe as well). Evolution then enabled humankind to reach the moon's surface, where yet another monolith is found, one that signals the monolith placers that humankind has evolved that far. Now a race begins between computers (HAL) and human (Bowman) to reach the monolith placers. The winner will achieve the next step in evolution, whatever that may be.",83,86,93,tt0062622,,,https://ia.media-imdb.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,https://ia.media-imdb.com/images/M/MV5BMmNlYzRiNDctZWNhMi00MzI4LThkZTctMTUzMmZkMmFmNThmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,,1080,
21 Grams,,2003,124 min,USA,English,Alejandro G. Iñárritu,Universal Pictures,"Crime, Drama, Thriller","Sean Penn, Naomi Watts, Danny Huston, Carly Nahon","This is the story of three well-meaning but flawed people: Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife, happily married homemaker with two young daughters, with hiding a secret past; and Jack Jordan, an ex-convict who has found in his Christian faith the strength to live a law-abiding life and raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will have learnt harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",77,70,80,tt0315733,,,https://m.media-amazon.com/images/M/MV5BMjA4MjI2OTM5N15BMl5BanBnXkFtZTcwNDA1NjUzMw@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMjA4MjI2OTM5N15BMl5BanBnXkFtZTcwNDA1NjUzMw@@._V1_SX300.jpg,Death trilogy,1080,
47 Ronin,,2013,128 min,"USA, UK, Japan, Hungary","English, Japanese",Carl Rinsch,Universal Pictures,"Action, Drama, Fantasy","Keanu Reeves, Hiroyuki Sanada, Ko Shibasaki, Tadanobu Asano","While hunting in the forest, Lord Asano of Ako and his samurai find a young half-breed and take him with them to live in the castle. Several years later, Lord Asano holds a tournament to welcome the Shogun to Ako. The night after the tournament, Lord Asano is bewitched into hurting Lord Kira of Nagato, and is punished into committing seppuku by the Shogun. Realizing that it was a Lord Kira's evil plot, the samurais and the half-breed sets out for revenge against the Shogun's order.",62,28,16,tt1335975,,,https://m.media-amazon.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTc0MjE2NzE0OV5BMl5BanBnXkFtZTgwNTU5MjE1MDE@._V1_SX300.jpg,,1080,
8½,,1963,138 min,"Italy, France","Italian, French, English, German",Federico Fellini,Cinerez,Drama,"Marcello Mastroianni, Claudia Cardinale, Anouk Aimée, Sandra Milo","Guido is a film director, trying to relax after his last big hit. He can't get a moment's peace, however, with the people who have worked with him in the past constantly looking for more work. He wrestles with his conscience, but is unable to come up with a new idea. While thinking, he starts to recall major happenings in his life, and all the women he has loved and left. An autobiographical film of Fellini, about the trials and tribulations of film making.",81,,98,tt0056801,,,https://m.media-amazon.com/images/M/MV5BMTQ4MTA0NjEzMF5BMl5BanBnXkFtZTgwMDg4NDYxMzE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTQ4MTA0NjEzMF5BMl5BanBnXkFtZTgwMDg4NDYxMzE@._V1_SX300.jpg,,1080,Eng
A Beautiful Mind,,2001,135 min,USA,English,Ron Howard,Universal Pictures,"Biography, Drama","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer","From the heights of notoriety to the depths of depravity, John Forbes Nash, Jr. experienced it all. A mathematical genius, he made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a painful and harrowing journey of self-discovery. After many years of struggle, he eventually triumphed over his tragedy, and finally - late in life - received the Nobel Prize.",82,72,75,tt0268978,http://www.abeautifulmind.com,,https://ia.media-imdb.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,https://ia.media-imdb.com/images/M/MV5BMzcwYWFkYzktZjAzNC00OGY1LWI4YTgtNzc5MzVjMDVmNjY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,,720,Eng
A Brief History of Time,,1991,80 min,"UK, Japan, USA",English,Errol Morris,Anglia Television Ltd,"Documentary, Biography","Isobel Hawking, Stephen Hawking, Janet Humphrey, Mary Hawking","Unlike the book, this film is really an anecdotal biography of Stephen Hawking. Clips of his lectures, interviews with friends and family and a little physics are thrown together.",74,78,94,tt0103882,,,https://m.media-amazon.com/images/M/MV5BMTQyOTA3MDgwNl5BMl5BanBnXkFtZTgwNjgxNTkwMzE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTQyOTA3MDgwNl5BMl5BanBnXkFtZTgwNjgxNTkwMzE@._V1_SX300.jpg,,1080,Eng
A Clockwork Orange,,1971,136 min,"UK, USA",English,Stanley Kubrick,Warner Bros.,"Crime, Drama, Sci-Fi","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke","Protagonist Alex DeLarge is an ""ultraviolent"" youth in futuristic Britain. As with all luck, his eventually runs out and he's arrested and convicted of murder and rape. While in prison, Alex learns of an experimental program in which convicts are programmed to detest violence. If he goes through the program, his sentence will be reduced and he will be back on the streets sooner than expected. But Alex's ordeals are far from over once he hits the mean streets of Britain that he had a hand in creating.",83,80,89,tt0066921,,,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg,,1080,Eng
A King in New York,,1957,105 min,UK,English,Charles Chaplin,Criterion Collection,"Comedy, Drama","Charles Chaplin, Maxine Audley, Jerry Desmonde, Oliver Johnston","Due to a revolution in his country, King Shahdov comes to New York - almost broke. To get some money he goes to TV, making commercials and meets the child from communist parents. Due to this he is suddenly a suspected as a communist himself and has to face one of McCarthy's hearings.",71,,80,tt0050598,,,https://m.media-amazon.com/images/M/MV5BOWIzMWY4ZDgtNjFhNi00YmM4LThjODEtYWE0MWE4MTEzOTVkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BOWIzMWY4ZDgtNjFhNi00YmM4LThjODEtYWE0MWE4MTEzOTVkXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,,1080,
A Metamorfose dos Pássaros,,2020,111 min,Portugal,Portuguese,Catarina Vasconcelos,,"Documentary, Biography, Drama","Manuel Rosa, João Móra, Ana Vasconcelos, Henrique Vasconcelos",The passing away of their mothers makes Catarina and her own father meet in an emotional place that is different from the one most fathers and daughters know.,,,,tt11625100,,,https://m.media-amazon.com/images/M/MV5BZjcyNDAxZWYtNzgwMy00OWRhLWJlNTktNTM0ZGIyOWY2MTk5XkEyXkFqcGdeQXVyMjMwNDQwNA@@._V1_.jpg,https://m.media-amazon.com/images/M/MV5BZjc5ODFkMmYtNjE0MC00ZjM5LTlkMmMtOWRkMzViOTg4MDM0XkEyXkFqcGdeQXVyMjMwNDQwNA@@._V1_SX300.jpg,,1080,Eng (H)
